state,forestation
Maine,0.89
New Hampshire,0.78
West Virginia,0.77
Vermont,0.76
Alabama,0.71
Georgia,0.64
South Carolina,0.64
Mississippi,0.62
Virginia,0.61
North Carolina,0.60
Pennsylvania,0.55
Arkansas,0.55
Connecticut,0.55
Tennessee,0.53
Massachusetts,0.53
Michigan,0.51
New York,0.51
Rhode Island,0.51
Louisiana,0.49
Kentucky,0.49
Wisconsin,0.45
Florida,0.42
Washington,0.41
New Jersey,0.40
Oregon,0.39
Maryland,0.38
Idaho,0.32
Alaska,0.30
Missouri,0.30
Delaware,0.30
Minnesota,0.29
Ohio,0.29
Montana,0.21
Indiana,0.19
California,0.18
Colorado,0.18
Hawaii,0.17
Oklahoma,0.14
Illinois,0.12
Wyoming,0.09
Utah,0.09
Texas,0.07
New Mexico,0.06
Iowa,0.05
Arizona,0.05
South Dakota,0.03
Kansas,0.03
Nebraska,0.02
North Dakota,0.01
Nevada,0.01
